id,mark,model,tariff,rent_cost
724,Skoda,Rapid,комфорт,1750
725,Suzuki,Alto,эконом,1450
726,Chevrolet,Spark,эконом,1400
727,Kia,Rio,эконом,1750
728,Chevrolet,Spark,эконом,1450
729,Hyundai,Solaris,эконом,1550
730,Mazda,6,комфорт+,3350
731,Mazda,6,комфорт+,3000
732,Peugeot,408,комфорт,1750
733,Geely,Atlas,комфорт+,3000
734,Honda,Civic,комфорт,2000
735,Renault,Logan,эконом,1800
736,Suzuki,Alto,эконом,1700
737,Mazda,3,комфорт,2100
738,Daewoo,Matiz,эконом,1700
739,Skoda,Rapid,комфорт,2300
740,Renault,Logan,эконом,1400
741,Renault,Logan,эконом,1550
742,Geely,Atlas,комфорт+,3050
743,Renault,Logan,эконом,1250
744,Suzuki,Alto,эконом,1800
745,Daewoo,Matiz,эконом,1600
746,Geely,MK,эконом,1350
747,Lada,Granta,эконом,1300
748,Datsun,on-DO,эконом,1500
749,Skoda,Octavia,комфорт+,3500
750,Suzuki,Alto,эконом,1400
751,Peugeot,508,комфорт+,3350
752,Skoda,Octavia,комфорт+,2400
753,Toyota,Camry,комфорт+,2950
754,Geely,MK,эконом,1300
755,Toyota,Corolla,комфорт,2450
756,Kia,Rio,эконом,1700
757,Chery,Tiggo 2,эконом,1300
758,Volkswagen,Jetta,комфорт,2000
759,Daewoo,Matiz,эконом,1600
760,Lada,Granta,эконом,1800
761,Fiat,Panda,эконом,1200
762,Volkswagen,Jetta,комфорт,2400
763,Daewoo,Matiz,эконом,1300
764,Mitsubishi,Outlander,комфорт+,3350
765,Mazda,3,комфорт,1700
766,Skoda,Rapid,комфорт,2300
767,Opel,Astra,комфорт,2050
768,Peugeot,408,комфорт,2150
769,Citroen,C4,комфорт,1650
770,Lada,Granta,эконом,1650
771,Skoda,Rapid,комфорт,2100
772,Volkswagen,Polo,эконом,1800
773,Hyundai,Elantra,комфорт,1700
774,Fiat,Panda,эконом,1750
775,Suzuki,Alto,эконом,1700
776,Geely,MK,эконом,1750
777,Datsun,on-DO,эконом,1700
778,Chery,Tiggo 2,эконом,1200
779,Datsun,on-DO,эконом,1500
780,Kia,Rio,эконом,1650
781,Daewoo,Matiz,эконом,1450
782,Hyundai,Elantra,комфорт,1950
783,Daewoo,Matiz,эконом,1500
784,Lada,Granta,эконом,1400
785,Daewoo,Matiz,эконом,1600
786,Geely,MK,эконом,1350
787,Volkswagen,Polo,эконом,1800
788,Chevrolet,Spark,эконом,1450
789,Chery,Tiggo 2,эконом,1800
790,Datsun,on-DO,эконом,1500
791,Fiat,Panda,эконом,1550
792,Toyota,Camry,комфорт+,2150
793,Renault,Logan,эконом,1400
794,Toyota,Corolla,комфорт,1650
795,Hyundai,Solaris,эконом,1400
796,Lada,Granta,эконом,1550
797,Toyota,Camry,комфорт+,2050
798,Geely,Emgrand,комфорт,2350
799,Renault,Logan,эконом,1700
800,Ford,Mondeo,комфорт+,3150
801,Chevrolet,Spark,эконом,1400
802,Hyundai,Solaris,эконом,1450
803,Geely,MK,эконом,1550
804,Lada,Granta,эконом,1700
805,Skoda,Rapid,комфорт,2200
806,Chery,Tiggo 7,комфорт+,2150
807,Skoda,Octavia,комфорт+,3350
808,Subaru,Outback,комфорт+,3000
809,Honda,Civic,комфорт,1600
810,Lada,Granta,эконом,1700
811,Volkswagen,Polo,эконом,1600
812,Geely,Emgrand,комфорт,1750
813,Volkswagen,Polo,эконом,1600
814,Datsun,on-DO,эконом,1200
815,Fiat,Panda,эконом,1400
816,Chery,Tiggo 7,комфорт+,2750
817,Hyundai,Solaris,эконом,1600
818,Lada,Granta,эконом,1300
819,Chevrolet,Spark,эконом,1550
820,Fiat,Panda,эконом,1500
821,Hyundai,Elantra,комфорт,1700
822,Renault,Logan,эконом,1200
823,Suzuki,Alto,эконом,1500
824,Volkswagen,Polo,эконом,1350
825,Fiat,Panda,эконом,1800
826,Volkswagen,Polo,эконом,1350
827,Peugeot,508,комфорт+,2150
828,Fiat,Panda,эконом,1700
829,Hyundai,Elantra,комфорт,2050
830,Toyota,Camry,комфорт+,3150
831,Daewoo,Matiz,эконом,1750
832,Skoda,Octavia,комфорт+,3300
833,Mazda,3,комфорт,1950
834,Datsun,on-DO,эконом,1200
835,Lada,Granta,эконом,1450
836,Chery,Tiggo 2,эконом,1550
837,Ford,Mondeo,комфорт+,2600
838,Geely,Emgrand,комфорт,1950
839,Subaru,Outback,комфорт+,3100
840,Geely,MK,эконом,1750
841,Geely,Atlas,комфорт+,2050
842,Daewoo,Matiz,эконом,1600
843,Honda,Civic,комфорт,2350
844,Mazda,3,комфорт,2350
845,Kia,Rio,эконом,1650
846,Mazda,6,комфорт+,3300
847,Datsun,on-DO,эконом,1550
848,Mitsubishi,Outlander,комфорт+,2200
849,Datsun,on-DO,эконом,1550
850,Opel,Astra,комфорт,2300
851,Peugeot,508,комфорт+,3000
852,Subaru,Outback,комфорт+,2000
853,Renault,Logan,эконом,1250
854,Honda,Civic,комфорт,2450
855,Suzuki,Alto,эконом,1550
856,Hyundai,Solaris,эконом,1300
857,Honda,Civic,комфорт,2250
858,Hyundai,Elantra,комфорт,2100
859,Volkswagen,Polo,эконом,1600
860,Honda,Accord,комфорт+,2600
861,Hyundai,Solaris,эконом,1550
862,Honda,Civic,комфорт,2250
863,Hyundai,Solaris,эконом,1500
864,Chevrolet,Spark,эконом,1350
865,Datsun,on-DO,эконом,1650
866,Volkswagen,Polo,эконом,1250
867,Suzuki,Alto,эконом,1250
868,Chevrolet,Spark,эконом,1200
869,Subaru,Outback,комфорт+,3200
870,Chery,Tiggo 4,комфорт,2450
871,Daewoo,Matiz,эконом,1250
872,Hyundai,Elantra,комфорт,1600
873,Chevrolet,Spark,эконом,1300
874,Toyota,Corolla,комфорт,1650
875,Fiat,Panda,эконом,1600
876,Renault,Logan,эконом,1250
877,Kia,Rio,эконом,1600
878,Datsun,on-DO,эконом,1300
879,Fiat,Panda,эконом,1800
880,Citroen,C4,комфорт,2350
881,Lada,Granta,эконом,1400
882,Fiat,Panda,эконом,1250
883,Suzuki,Alto,эконом,1250
884,Lada,Granta,эконом,1800
885,Geely,Emgrand,комфорт,2300
886,Kia,Optima,комфорт,1750
887,Chery,Tiggo 7,комфорт+,2300
888,Geely,MK,эконом,1400
889,Volkswagen,Passat,комфорт+,2850
890,Lada,Granta,эконом,1350
891,Renault,Logan,эконом,1200
892,Datsun,on-DO,эконом,1250
893,Honda,Accord,комфорт+,2550
894,Nissan,Qashqai,комфорт+,2200
895,Kia,Rio,эконом,1350
896,Chery,Tiggo 2,эконом,1350
897,Volkswagen,Jetta,комфорт,1700
898,Fiat,Panda,эконом,1650
899,Kia,Rio,эконом,1300
900,Toyota,Corolla,комфорт,2350
901,Datsun,on-DO,эконом,1600
902,Geely,Atlas,комфорт+,3050
903,Suzuki,Alto,эконом,1450
904,Datsun,on-DO,эконом,1400
905,Daewoo,Matiz,эконом,1650
906,Citroen,C4,комфорт,2150
907,Skoda,Octavia,комфорт+,2900
908,Daewoo,Matiz,эконом,1750
909,Geely,Atlas,комфорт+,3400
910,Hyundai,Solaris,эконом,1300
911,Datsun,on-DO,эконом,1300
912,Chevrolet,Spark,эконом,1600
913,Citroen,C4,комфорт,2100
914,Peugeot,408,комфорт,1700
915,Volkswagen,Polo,эконом,1700
916,Suzuki,Alto,эконом,1800
917,Kia,Rio,эконом,1800
918,Mitsubishi,Outlander,комфорт+,2550
919,Geely,MK,эконом,1650
920,Mazda,6,комфорт+,2950
921,Chery,Tiggo 7,комфорт+,2550
922,Chery,Tiggo 7,комфорт+,2350
923,Peugeot,408,комфорт,1900
924,Toyota,Corolla,комфорт,2400
925,Chery,Tiggo 2,эконом,1550
926,Chery,Tiggo 4,комфорт,2250
927,Suzuki,Alto,эконом,1250
928,Ford,Mondeo,комфорт+,2450
929,Volkswagen,Passat,комфорт+,2600
930,Fiat,Panda,эконом,1600
931,Daewoo,Matiz,эконом,1250
932,Chery,Tiggo 4,комфорт,1700
933,Kia,Rio,эконом,1750
934,Volkswagen,Polo,эконом,1300
935,Daewoo,Matiz,эконом,1750
936,Mazda,6,комфорт+,3000
937,Nissan,Qashqai,комфорт+,3350
938,Honda,Accord,комфорт+,2600
939,Mitsubishi,Outlander,комфорт+,3350
940,Chery,Tiggo 2,эконом,1600
941,Daewoo,Matiz,эконом,1500
942,Opel,Astra,комфорт,2200
943,Chery,Tiggo 2,эконом,1350
944,Datsun,on-DO,эконом,1500
945,Chevrolet,Spark,эконом,1550
946,Volkswagen,Polo,эконом,1200
947,Volkswagen,Polo,эконом,1300
948,Geely,MK,эконом,1450
949,Toyota,Corolla,комфорт,2300
950,Lada,Granta,эконом,1750
951,Ford,Mondeo,комфорт+,2650
952,Volkswagen,Passat,комфорт+,3000
953,Fiat,Panda,эконом,1350
954,Citroen,C4,комфорт,1650
955,Toyota,Camry,комфорт+,3000
956,Renault,Logan,эконом,1600
957,Geely,MK,эконом,1600
958,Peugeot,408,комфорт,2050
959,Skoda,Rapid,комфорт,2250
960,Subaru,Outback,комфорт+,2500
961,Kia,Rio,эконом,1200
962,Geely,MK,эконом,1700
963,Daewoo,Matiz,эконом,1300
964,Suzuki,Alto,эконом,1750
965,Kia,Optima,комфорт,2100
966,Chevrolet,Spark,эконом,1600
967,Hyundai,Solaris,эконом,1550
968,Geely,Atlas,комфорт+,2550
969,Fiat,Panda,эконом,1400
970,Geely,MK,эконом,1500
971,Ford,Mondeo,комфорт+,3000
972,Chery,Tiggo 7,комфорт+,2650
973,Hyundai,Solaris,эконом,1650
974,Datsun,on-DO,эконом,1300
975,Mazda,6,комфорт+,3500
976,Ford,Mondeo,комфорт+,3250
977,Lada,Granta,эконом,1700
978,Peugeot,508,комфорт+,2600
979,Peugeot,408,комфорт,2200
980,Volkswagen,Passat,комфорт+,2300
981,Citroen,C4,комфорт,1700
982,Daewoo,Matiz,эконом,1550
983,Geely,Atlas,комфорт+,2600
984,Lada,Granta,эконом,1450
985,Suzuki,Alto,эконом,1550
986,Renault,Logan,эконом,1800
987,Renault,Logan,эконом,1300
988,Chevrolet,Spark,эконом,1250
989,Ford,Mondeo,комфорт+,2450
990,Volkswagen,Polo,эконом,1250
991,Daewoo,Matiz,эконом,1400
992,Fiat,Panda,эконом,1500
993,Peugeot,508,комфорт+,2100
994,Ford,Mondeo,комфорт+,2800
995,Lada,Granta,эконом,1600
996,Honda,Accord,комфорт+,2700
997,Suzuki,Alto,эконом,1250
998,Peugeot,508,комфорт+,2650
999,Kia,Rio,эконом,1700
1000,Kia,Rio,эконом,1500
1001,Geely,MK,эконом,1650
1002,Opel,Astra,комфорт,2250
1003,Renault,Logan,эконом,1550
1004,Geely,MK,эконом,1550
1005,Hyundai,Solaris,эконом,1550
1006,Toyota,Corolla,комфорт,2350
1007,Renault,Logan,эконом,1650
1008,Honda,Accord,комфорт+,2500
1009,Volkswagen,Polo,эконом,1600
1010,Kia,Rio,эконом,1700
1011,Mitsubishi,Outlander,комфорт+,3350
1012,Mitsubishi,Outlander,комфорт+,2900
1013,Volkswagen,Polo,эконом,1700
1014,Hyundai,Elantra,комфорт,2500
1015,Geely,Emgrand,комфорт,1900
1016,Toyota,Camry,комфорт+,2200
1017,Citroen,C4,комфорт,1650
1018,Renault,Logan,эконом,1200
1019,Chery,Tiggo 7,комфорт+,2100
1020,Honda,Civic,комфорт,2250
1021,Chery,Tiggo 2,эконом,1750
1022,Ford,Mondeo,комфорт+,2850
1023,Peugeot,408,комфорт,2200
1024,Volkswagen,Polo,эконом,1500
1025,Chevrolet,Spark,эконом,1350
1026,Lada,Granta,эконом,1600
1027,Suzuki,Alto,эконом,1450
1028,Suzuki,Alto,эконом,1600
1029,Nissan,Qashqai,комфорт+,2050
1030,Lada,Granta,эконом,1300
1031,Geely,MK,эконом,1650
1032,Suzuki,Alto,эконом,1350
1033,Datsun,on-DO,эконом,1500
1034,Kia,Rio,эконом,1200
1035,Hyundai,Solaris,эконом,1600
1036,Datsun,on-DO,эконом,1650
1037,Daewoo,Matiz,эконом,1200
1038,Hyundai,Solaris,эконом,1200
1039,Citroen,C4,комфорт,2000
1040,Skoda,Rapid,комфорт,1800
1041,Toyota,Corolla,комфорт,1750
1042,Honda,Accord,комфорт+,2550
1043,Lada,Granta,эконом,1450
1044,Geely,Atlas,комфорт+,2850
1045,Mazda,6,комфорт+,2900
1046,Volkswagen,Polo,эконом,1700
1047,Suzuki,Alto,эконом,1600
1048,Lada,Granta,эконом,1200
1049,Hyundai,Solaris,эконом,1450
1050,Hyundai,Solaris,эконом,1450
1051,Chevrolet,Spark,эконом,1650
1052,Chevrolet,Spark,эконом,1250
1053,Nissan,Qashqai,комфорт+,3100
1054,Volkswagen,Polo,эконом,1350
1055,Kia,Rio,эконом,1250
1056,Volkswagen,Polo,эконом,1350
1057,Toyota,Camry,комфорт+,2750
1058,Toyota,Corolla,комфорт,1650
1059,Fiat,Panda,эконом,1400
1060,Honda,Civic,комфорт,1650
1061,Chery,Tiggo 2,эконом,1350
1062,Hyundai,Solaris,эконом,1300
1063,Honda,Civic,комфорт,2050
1064,Lada,Granta,эконом,1200
1065,Daewoo,Matiz,эконом,1600
1066,Kia,Rio,эконом,1600
1067,Mazda,6,комфорт+,3350
1068,Citroen,C4,комфорт,1600
1069,Lada,Granta,эконом,1300
1070,Peugeot,508,комфорт+,3000
1071,Mazda,6,комфорт+,2900
1072,Kia,Rio,эконом,1400
1073,Volkswagen,Polo,эконом,1700
1074,Subaru,Outback,комфорт+,3350
1075,Fiat,Panda,эконом,1300
1076,Datsun,on-DO,эконом,1400
1077,Mazda,3,комфорт,1750
1078,Fiat,Panda,эконом,1300
1079,Volkswagen,Jetta,комфорт,1850
1080,Skoda,Rapid,комфорт,1800
1081,Geely,MK,эконом,1350
1082,Volkswagen,Polo,эконом,1650
1083,Toyota,Camry,комфорт+,2700
1084,Chery,Tiggo 2,эконом,1400
1085,Hyundai,Solaris,эконом,1400
1086,Geely,MK,эконом,1350
1087,Volkswagen,Polo,эконом,1350
1088,Chery,Tiggo 2,эконом,1700
1089,Lada,Granta,эконом,1200
1090,Datsun,on-DO,эконом,1450
1091,Suzuki,Alto,эконом,1700
1092,Honda,Accord,комфорт+,3150
1093,Hyundai,Solaris,эконом,1800
1094,Hyundai,Solaris,эконом,1600
1095,Geely,Emgrand,комфорт,2450
1096,Lada,Granta,эконом,1700
1097,Geely,Atlas,комфорт+,3500
1098,Datsun,on-DO,эконом,1800
1099,Geely,MK,эконом,1550
1100,Datsun,on-DO,эконом,1550
1101,Daewoo,Matiz,эконом,1200
1102,Fiat,Panda,эконом,1600
1103,Volkswagen,Polo,эконом,1400
1104,Datsun,on-DO,эконом,1250
1105,Ford,Mondeo,комфорт+,2250
1106,Chery,Tiggo 4,комфорт,1700
1107,Lada,Granta,эконом,1400
1108,Volkswagen,Polo,эконом,1450
1109,Chevrolet,Spark,эконом,1800
1110,Datsun,on-DO,эконом,1350
1111,Volkswagen,Passat,комфорт+,2800
1112,Renault,Logan,эконом,1550
1113,Lada,Granta,эконом,1750
1114,Mazda,6,комфорт+,2600
1115,Hyundai,Elantra,комфорт,2050
1116,Kia,Rio,эконом,1250
1117,Volkswagen,Polo,эконом,1350
1118,Fiat,Panda,эконом,1750
1119,Datsun,on-DO,эконом,1600
1120,Chevrolet,Spark,эконом,1350
1121,Volkswagen,Polo,эконом,1450
1122,Chery,Tiggo 2,эконом,1250
1123,Mitsubishi,Outlander,комфорт+,2700
1124,Skoda,Rapid,комфорт,2500
1125,Lada,Granta,эконом,1200
1126,Volkswagen,Polo,эконом,1600
1127,Hyundai,Solaris,эконом,1550
1128,Renault,Logan,эконом,1200
1129,Geely,MK,эконом,1600
1130,Honda,Accord,комфорт+,2700
1131,Chevrolet,Spark,эконом,1550
1132,Chevrolet,Spark,эконом,1300
1133,Chevrolet,Spark,эконом,1800
1134,Geely,Atlas,комфорт+,2550
1135,Fiat,Panda,эконом,1750
1136,Fiat,Panda,эконом,1650
1137,Volkswagen,Polo,эконом,1750
1138,Fiat,Panda,эконом,1300
1139,Skoda,Octavia,комфорт+,2950
1140,Citroen,C4,комфорт,1800
1141,Toyota,Corolla,комфорт,1750
1142,Kia,Rio,эконом,1700
1143,Geely,Emgrand,комфорт,1750
1144,Kia,Rio,эконом,1400
1145,Geely,Emgrand,комфорт,2350
1146,Volkswagen,Polo,эконом,1500
1147,Geely,Atlas,комфорт+,3450
1148,Volkswagen,Polo,эконом,1250
1149,Suzuki,Alto,эконом,1350
1150,Hyundai,Solaris,эконом,1450
1151,Chevrolet,Spark,эконом,1550
1152,Renault,Logan,эконом,1450
1153,Chery,Tiggo 2,эконом,1800
1154,Peugeot,408,комфорт,1600
1155,Renault,Logan,эконом,1300
1156,Hyundai,Solaris,эконом,1400
1157,Geely,MK,эконом,1400
1158,Chery,Tiggo 2,эконом,1800
1159,Suzuki,Alto,эконом,1400
1160,Daewoo,Matiz,эконом,1700
1161,Toyota,Camry,комфорт+,2300
1162,Chery,Tiggo 7,комфорт+,2250
1163,Chevrolet,Spark,эконом,1450
1164,Lada,Granta,эконом,1400
1165,Volkswagen,Polo,эконом,1200
1166,Chery,Tiggo 4,комфорт,1950
1167,Chevrolet,Spark,эконом,1650
1168,Volkswagen,Polo,эконом,1450
1169,Suzuki,Alto,эконом,1200
1170,Mazda,6,комфорт+,2950
1171,Hyundai,Elantra,комфорт,1700
1172,Volkswagen,Polo,эконом,1600
1173,Opel,Astra,комфорт,2400
1174,Geely,Emgrand,комфорт,1700
1175,Citroen,C4,комфорт,2000
1176,Chevrolet,Spark,эконом,1300
1177,Lada,Granta,эконом,1400
1178,Citroen,C4,комфорт,2000
1179,Daewoo,Matiz,эконом,1400
1180,Kia,Rio,эконом,1600
1181,Citroen,C4,комфорт,2200
1182,Toyota,Corolla,комфорт,1800
1183,Volkswagen,Polo,эконом,1800
1184,Kia,Rio,эконом,1800
1185,Hyundai,Solaris,эконом,1350
1186,Geely,Emgrand,комфорт,2500
1187,Volkswagen,Jetta,комфорт,1850
1188,Toyota,Camry,комфорт+,3150
1189,Geely,MK,эконом,1550
1190,Renault,Logan,эконом,1400
1191,Mitsubishi,Outlander,комфорт+,2750
1192,Chery,Tiggo 2,эконом,1600
1193,Chery,Tiggo 7,комфорт+,2000
1194,Mazda,3,комфорт,2300
1195,Kia,Optima,комфорт,2350
1196,Suzuki,Alto,эконом,1200
1197,Kia,Rio,эконом,1450
1198,Skoda,Octavia,комфорт+,2100
1199,Daewoo,Matiz,эконом,1550
1200,Opel,Astra,комфорт,1950
1201,Chevrolet,Spark,эконом,1500
1202,Chery,Tiggo 4,комфорт,2300
1203,Skoda,Octavia,комфорт+,3200
1204,Geely,Emgrand,комфорт,2500
1205,Hyundai,Solaris,эконом,1200
1206,Geely,MK,эконом,1600
1207,Suzuki,Alto,эконом,1250
1208,Volkswagen,Passat,комфорт+,2700
1209,Opel,Astra,комфорт,1750
1210,Volkswagen,Polo,эконом,1500
1211,Chery,Tiggo 2,эконом,1750
1212,Volkswagen,Polo,эконом,1800
1213,Geely,MK,эконом,1750
1214,Chevrolet,Spark,эконом,1700
1215,Peugeot,408,комфорт,2200
1216,Chevrolet,Spark,эконом,1550
1217,Volkswagen,Polo,эконом,1500
1218,Honda,Accord,комфорт+,2950
1219,Mitsubishi,Outlander,комфорт+,3250
1220,Hyundai,Elantra,комфорт,1700
1221,Ford,Mondeo,комфорт+,3000
1222,Mazda,6,комфорт+,3150
1223,Fiat,Panda,эконом,1550
1224,Citroen,C4,комфорт,2350
1225,Lada,Granta,эконом,1500
1226,Volkswagen,Polo,эконом,1550
1227,Volkswagen,Passat,комфорт+,2600
1228,Volkswagen,Polo,эконом,1650
1229,Datsun,on-DO,эконом,1550
1230,Subaru,Outback,комфорт+,2400
1231,Chevrolet,Spark,эконом,1700
1232,Hyundai,Solaris,эконом,1550
1233,Mazda,3,комфорт,2450
1234,Hyundai,Elantra,комфорт,2450
1235,Kia,Rio,эконом,1350
1236,Hyundai,Solaris,эконом,1250
1237,Volkswagen,Polo,эконом,1250
1238,Skoda,Octavia,комфорт+,2300
1239,Mitsubishi,Outlander,комфорт+,2100
1240,Kia,Rio,эконом,1600
1241,Chery,Tiggo 4,комфорт,2250
1242,Fiat,Panda,эконом,1250
1243,Chevrolet,Spark,эконом,1700
1244,Datsun,on-DO,эконом,1550
1245,Chery,Tiggo 2,эконом,1400
1246,Renault,Logan,эконом,1200
1247,Lada,Granta,эконом,1800
1248,Suzuki,Alto,эконом,1350
1249,Lada,Granta,эконом,1400
1250,Kia,Rio,эконом,1600
1251,Peugeot,408,комфорт,2050
1252,Opel,Astra,комфорт,1650
1253,Volkswagen,Polo,эконом,1600
1254,Subaru,Outback,комфорт+,2300
1255,Citroen,C4,комфорт,2250
1256,Suzuki,Alto,эконом,1550
1257,Volkswagen,Jetta,комфорт,2500
1258,Suzuki,Alto,эконом,1450
1259,Mitsubishi,Outlander,комфорт+,2550
1260,Datsun,on-DO,эконом,1750
1261,Chery,Tiggo 2,эконом,1750
1262,Hyundai,Solaris,эконом,1450
1263,Renault,Logan,эконом,1600
1264,Mitsubishi,Outlander,комфорт+,2200
1265,Geely,MK,эконом,1200
1266,Kia,Rio,эконом,1500
1267,Geely,Atlas,комфорт+,2800
1268,Daewoo,Matiz,эконом,1500
1269,Lada,Granta,эконом,1750
1270,Chery,Tiggo 2,эконом,1800
1271,Hyundai,Solaris,эконом,1750
1272,Hyundai,Solaris,эконом,1700
1273,Geely,MK,эконом,1500
1274,Volkswagen,Jetta,комфорт,1950
1275,Volkswagen,Polo,эконом,1400
1276,Daewoo,Matiz,эконом,1750
1277,Chery,Tiggo 2,эконом,1200
1278,Lada,Granta,эконом,1750
1279,Skoda,Octavia,комфорт+,3300
1280,Mazda,3,комфорт,2500
1281,Chery,Tiggo 2,эконом,1200
1282,Daewoo,Matiz,эконом,1450
1283,Chery,Tiggo 7,комфорт+,3000
1284,Geely,Emgrand,комфорт,1900
1285,Nissan,Qashqai,комфорт+,2350
1286,Toyota,Camry,комфорт+,2650
1287,Volkswagen,Polo,эконом,1200
1288,Kia,Optima,комфорт,1800
1289,Renault,Logan,эконом,1300
1290,Kia,Optima,комфорт,2000
1291,Kia,Rio,эконом,1550
1292,Renault,Logan,эконом,1450
1293,Nissan,Qashqai,комфорт+,3400
1294,Hyundai,Elantra,комфорт,2300
1295,Chevrolet,Spark,эконом,1250
1296,Chery,Tiggo 2,эконом,1700
1297,Fiat,Panda,эконом,1750
1298,Volkswagen,Jetta,комфорт,1850
1299,Daewoo,Matiz,эконом,1250
1300,Volkswagen,Polo,эконом,1250
1301,Peugeot,408,комфорт,2050
1302,Renault,Logan,эконом,1200
1303,Datsun,on-DO,эконом,1350
1304,Hyundai,Solaris,эконом,1600
1305,Subaru,Outback,комфорт+,3000
1306,Toyota,Camry,комфорт+,2950
1307,Suzuki,Alto,эконом,1800
1308,Suzuki,Alto,эконом,1200
1309,Volkswagen,Polo,эконом,1700
1310,Renault,Logan,эконом,1650
1311,Volkswagen,Polo,эконом,1400
1312,Geely,MK,эконом,1350
1313,Volkswagen,Polo,эконом,1750
1314,Ford,Mondeo,комфорт+,2250
1315,Subaru,Outback,комфорт+,2000
1316,Hyundai,Elantra,комфорт,1700
1317,Kia,Rio,эконом,1200
1318,Toyota,Camry,комфорт+,2750
1319,Hyundai,Solaris,эконом,1500
1320,Geely,Emgrand,комфорт,2500
1321,Hyundai,Solaris,эконом,1350
1322,Fiat,Panda,эконом,1200
1323,Lada,Granta,эконом,1800
1324,Fiat,Panda,эконом,1750
1325,Kia,Rio,эконом,1200
1326,Geely,Atlas,комфорт+,3300
1327,Lada,Granta,эконом,1600
1328,Daewoo,Matiz,эконом,1550
1329,Kia,Rio,эконом,1400
1330,Hyundai,Solaris,эконом,1200
1331,Honda,Civic,комфорт,2500
1332,Chery,Tiggo 2,эконом,1350
1333,Chevrolet,Spark,эконом,1700
1334,Peugeot,508,комфорт+,2800
1335,Citroen,C4,комфорт,2350
1336,Opel,Astra,комфорт,1700
1337,Chevrolet,Spark,эконом,1550
1338,Opel,Astra,комфорт,2450
1339,Kia,Rio,эконом,1750
1340,Chery,Tiggo 2,эконом,1350
1341,Chery,Tiggo 2,эконом,1800
1342,Kia,Rio,эконом,1350
1343,Hyundai,Solaris,эконом,1750
1344,Kia,Rio,эконом,1500
1345,Hyundai,Solaris,эконом,1400
1346,Geely,MK,эконом,1350
1347,Kia,Rio,эконом,1600
1348,Subaru,Outback,комфорт+,3100
1349,Geely,MK,эконом,1800
1350,Fiat,Panda,эконом,1600
1351,Chevrolet,Spark,эконом,1250
1352,Chery,Tiggo 7,комфорт+,3050
1353,Chery,Tiggo 2,эконом,1650
1354,Opel,Astra,комфорт,2350
1355,Chevrolet,Spark,эконом,1250
1356,Daewoo,Matiz,эконом,1600
1357,Kia,Rio,эконом,1550
1358,Honda,Civic,комфорт,1650
1359,Volkswagen,Polo,эконом,1550
1360,Daewoo,Matiz,эконом,1300
1361,Kia,Rio,эконом,1350
1362,Honda,Accord,комфорт+,2400
1363,Chery,Tiggo 2,эконом,1700
1364,Geely,MK,эконом,1550
1365,Fiat,Panda,эконом,1400
1366,Suzuki,Alto,эконом,1500
1367,Honda,Accord,комфорт+,3400
1368,Nissan,Qashqai,комфорт+,3250
1369,Renault,Logan,эконом,1750
1370,Subaru,Outback,комфорт+,3300
1371,Daewoo,Matiz,эконом,1800
1372,Chery,Tiggo 7,комфорт+,3300
1373,Suzuki,Alto,эконом,1650
1374,Mazda,6,комфорт+,3100
1375,Renault,Logan,эконом,1650
1376,Mazda,3,комфорт,2350
1377,Nissan,Qashqai,комфорт+,3400
1378,Volkswagen,Passat,комфорт+,2950
1379,Peugeot,408,комфорт,2400
1380,Opel,Astra,комфорт,2050
1381,Chevrolet,Spark,эконом,1200
1382,Peugeot,408,комфорт,2400
1383,Chevrolet,Spark,эконом,1700
1384,Fiat,Panda,эконом,1400
1385,Citroen,C4,комфорт,2050
1386,Mazda,3,комфорт,2300
1387,Volkswagen,Polo,эконом,1450
1388,Geely,Atlas,комфорт+,2650
1389,Geely,Atlas,комфорт+,2250
1390,Hyundai,Elantra,комфорт,1800
1391,Geely,MK,эконом,1750
1392,Geely,MK,эконом,1450
1393,Suzuki,Alto,эконом,1200
1394,Lada,Granta,эконом,1400
1395,Suzuki,Alto,эконом,1450
1396,Skoda,Octavia,комфорт+,2150
1397,Lada,Granta,эконом,1700
1398,Hyundai,Solaris,эконом,1600
1399,Suzuki,Alto,эконом,1650
1400,Volkswagen,Polo,эконом,1250
1401,Renault,Logan,эконом,1750
1402,Opel,Astra,комфорт,2000
1403,Chery,Tiggo 2,эконом,1550
1404,Lada,Granta,эконом,1200
1405,Chevrolet,Spark,эконом,1550
1406,Chevrolet,Spark,эконом,1350
1407,Geely,Emgrand,комфорт,1800
1408,Chery,Tiggo 7,комфорт+,2450
1409,Geely,MK,эконом,1450
1410,Datsun,on-DO,эконом,1800
1411,Volkswagen,Polo,эконом,1250
1412,Peugeot,408,комфорт,1800
1413,Opel,Astra,комфорт,2100
1414,Datsun,on-DO,эконом,1800
1415,Renault,Logan,эконом,1450
1416,Hyundai,Solaris,эконом,1700
1417,Skoda,Rapid,комфорт,2200
1418,Volkswagen,Jetta,комфорт,2000
1419,Geely,Emgrand,комфорт,1950
1420,Chevrolet,Spark,эконом,1500
1421,Daewoo,Matiz,эконом,1800
1422,Peugeot,508,комфорт+,2400
1423,Hyundai,Solaris,эконом,1600
1424,Mazda,6,комфорт+,2050
1425,Chery,Tiggo 4,комфорт,2050
1426,Volkswagen,Polo,эконом,1600
1427,Geely,MK,эконом,1450
1428,Datsun,on-DO,эконом,1300
